Unnamed: 0,month,day,year,Danger Message,source
0,24,December,2020,"
December 24, 2020 at 7:00 While a small slab of wind drifted snow or a soft slab above old weak snow may still lurk on an isolated piece of terrain, avalanches are unlikely overall. Icy scoured surfaces and variable uneven snow could make travel challenging. The avalanche danger will remain LOW for today and tomorrow. Expect an increase in avalanche danger Friday night and Saturday as new snow and wind impact the forecast area. This forecast will be updated at 7am on Saturday.
",SAC
1,23,December,2020,"
December 23, 2020 at 6:58 A shallow and generally weak snowpack structure continues across the forecast region.  The persistent slab and wind slab avalanche problems have become unlikely on a regional scale.  LOW avalanche danger exists at all elevations.
",SAC
2,11,December,2020,"
December 11, 2020 at 6:51 Today, avoiding obstacles and dealing with variable snow surfaces still remains the primary concern for backcountry travelers. Things will change during the night as new snow and wind will create avalanche problems on top of the shallow snowpack. The avalanche danger remains LOW at all elevations today, but it will INCREASE tonight and tomorrow. 
",SAC
3,10,December,2020,"
December 10, 2020 at 6:59 For now, collisions with exposed and barely covered obstacles and challenging travel conditions resulting from variable snow surfaces still represent the main concern in the backcountry. Travel using normal caution. The avalanche danger remains LOW at all elevations. 
",SAC
4,9,December,2020,"
December 9, 2020 at 6:48 Early season conditions with a thin snowpack and numerous obstacles to potentially hit will remain the greatest hazard today.  LOW avalanche danger continues with normal caution advised if traveling in the backcountry.  
",SAC
5,8,December,2020,"
December 8, 2020 at 6:50 LOW avalanche danger continues throughout the forecast region.  Caution is advised when traveling in the backcountry due to the early season conditions and thin snowpack.
",SAC
6,7,December,2020,"
December 7, 2020 at 6:55 Some minor amounts of drifting snow may occur today.  Small avalanches remain unlikely but are not impossible in isolated areas where drifting snow deposits. Regional scale LOW avalanche danger exists for all elevations.
",SAC
7,6,December,2020,"
December 6, 2020 at 6:56 Some minor amounts of drifting snow may occur but avalanches remain unlikely. Normal caution is advised. LOW avalanche danger continues for all elevations.
",SAC
8,5,December,2020,"
December 5, 2020 at 6:49 Backcountry travel in the shallow early season snowpack means dealing with highly variable snow surface conditions and numerous exposed and barely covered obstacles. Travel using normal caution. The avalanche danger remains LOW at all elevations. 
",SAC
9,4,December,2020,"
December 4, 2020 at 6:48 Exposed and barely covered obstacles abound in the backcountry due to the shallow early season snow conditions. These obstacles combined with the variable snow surfaces can lead to ""interesting"" (an optimistic word for challenging) backcountry travel conditions. Travel using normal caution. The avalanche danger remains LOW at all elevations. 
",SAC
10,3,December,2020,"
December 3, 2020 at 6:48 Variable snow surfaces and shallow early season conditions with lots of exposed and barely covered obstacles exist in the backcountry. Travel using normal caution. The avalanche danger remains LOW at all elevations. 
",SAC
11,2,December,2020,"
December 2, 2020 at 6:49 If your heading into the backcountry, be prepared for early season conditions with a thin and variable snowpack.  LOW avalanche danger exists with avalanche activity unlikely.  Normal caution is advised.  
",SAC
12,1,December,2020,"
December 1, 2020 at 6:50 LOW avalanche danger continues across the forecast region with no avalanche activity expected.  Early season conditions exist, normal caution is advised.
",SAC
